Token	Assigned	Predicted
What	O	O
an	O	O
awesome	O	O
day	O	O
with	O	O
amazing	O	O
people	O	O
and	O	O
stellar	O	O
dives	O	O
,	O	O
and	O	O
we	O	O
left	O	O
the	O	O
ocean	O	O
better	O	O
than	O	O
we	O	O
found	O	O
it	O	O
!	O	O

🌎	O	O
In	O	O
total	O	O
we	O	O
gathered	O	O
about	O	O
50	S-WEI	S-WEI
lbs	S-UNT	S-UNT
of	O	O
debris-	S-ITM	O
the	O	O
biggest	O	O
weight	O	O
factor	O	O
being	O	O
a	O	O
anchor	O	O
and	O	O
chain	O	O
that	O	O
was	O	O
left	O	O
behind	O	O
,	O	O
but	O	O
the	O	O
remaining	O	O
10	S-WEI	S-WEI
lbs	S-UNT	S-UNT
was	O	O
all	O	O
fishing	B-ITM	B-ITM
line	E-ITM	E-ITM
,	O	O
a	O	O
few	O	O
fishing	B-ITM	O
weights	E-ITM	O
,	O	O
cans	S-ITM	S-ITM
and	O	O
plastic	B-ITM	O
bottles-	E-ITM	O
that	O	O
’	O	O
s	O	O
a	O	O
whole	O	O
lot	O	O
of	O	O
weight	O	O
for	O	O
such	O	O
light	O	O
items	O	O
!	O	O

Thank	O	O
you	O	O
so	O	O
much	O	O
to	O	O
everyone	O	O
who	O	O
participated	O	O
,	O	O
along	O	O
with	O	O
@	O	O
diveforcee	S-ORG	O
and	O	O
@	O	O
southfloridadivinghq	S-ORG	O
🤙	O	O
Stay	O	O
tuned	O	O
for	O	O
next	O	O
months	O	O
diving	O	O
cleanup	O	O
date	O	O
!	O	O

.	O	O

.	O	O

.	O	O

.	O	O

#	O	O
trashygirlscollective	O	O
#	O	O
womensavingthesea	O	O
#	O	O
ecoconscious	O	O
#	O	O
longweekend	O	O
#	O	O
supportlocal	O	O
#	O	O
supportsmallbusiness	O	O
#	O	O
coastalcommunity	O	O
#	O	O
scubadiving	O	O
#	O	O
scuba	O	O
#	O	O
scubadiverslife	O	O
#	O	O
lovewhatyoudo	O	O
#	O	O
savethereef	O	O
#	O	O
saveourseas	O	O
#	O	O
beachcleanup	O	O
#	O	O
divecleanup	O	O
#	O	O
theresnoplanetb	O	O
#	O	O
sustainability	O	O
#	O	O
reusable	O	O
#	O	O
presidentsday2023	O	O
#	O	O
southflorida	O	O
#	O	O
divesouthflorida	O	O
#	O	O
sdidivers	O	O
#	O	O
tdidivers	O	O
#	O	O
leaveitbetterthanyoufoundit	O	O
#	O	O
doyourpart	O	O
#	O	O
nobluenogreen	O	O
#	O	O
saveouroceans	O	O
#	O	O
ditchplastic	O	O
#	O	O
quitsingleuse	O	O
#	O	O
letsgettrashy	O	O

Amazing	O	O
sunset	O	O
Beach	O	O
cleanup	O	O
with	O	O
the	O	O
@	O	O
wavemakersunited	S-ORG	S-ORG
team	O	O
and	O	O
my	O	O
regular	O	O
cleanup	O	O
die-hards	O	O
!	O	O

!	O	O

79	S-WEI	S-WEI
kilograms	S-UNT	S-UNT
removed	O	O
off	O	O
our	O	O
beach	O	O
!	O	O

!	O	O

#	O	O
saveafishie	O	O
#	O	O
beachcleanup	O	O
#	O	O
LetsKeepCapeTownCleanTogether	O	O
#	O	O
SpringCleanCT	O	O
#	O	O
sunsetcleanup	O	O

Shared	O	O
by	O	O
Joanna	O	O
Jo	O	O
,	O	O
one	O	O
of	O	O
our	O	O
volunteers	O	O
:	O	O
9	O	O
warriors	O	O
,	O	O
241	S-WEI	S-WEI
kg	S-UNT	S-UNT
of	O	O
trash	S-ITM	S-ITM
picked	O	O
and	O	O
packed	O	O
in	O	O
3	O	O
hours	O	O
.	O	O

Back-breaking	O	O
but	O	O
extremely	O	O
rewarding	O	O
time	O	O
spent	O	O
picking	O	O
up	O	O
trash	S-ITM	O
at	O	O
Punggol	B-LOC	B-LOC
Beach	E-LOC	E-LOC
on	O	O
Friday	O	O
17	B-DAT	B-DAT
Feb	I-DAT	E-DAT
2023	E-DAT	O
.	O	O

It	O	O
was	O	O
a	O	O
real	O	O
eye-opener	O	O
,	O	O
and	O	O
truly	O	O
amazed	O	O
yet	O	O
disgusted	O	O
at	O	O
the	O	O
variety	O	O
of	O	O
trash	S-ITM	S-ITM
found	O	O
on	O	O
only	O	O
a	O	O
small	O	O
section	O	O
of	O	O
the	O	O
beach	O	O
.	O	O

Imagine	O	O
the	O	O
trash	S-ITM	S-ITM
being	O	O
ingested	O	O
by	O	O
marine	O	O
life	O	O
and	O	O
eventually	O	O
ending	O	O
up	O	O
in	O	O
our	O	O
stomachs	O	O
.	O	O

Ewwww	O	O
.	O	O

A	O	O
great	O	O
workout	O	O
like	O	O
no	O	O
other	O	O
,	O	O
and	O	O
keen	O	O
to	O	O
participate	O	O
in	O	O
more	O	O
of	O	O
such	O	O
clean-up	O	O
.	O	O

.	O	O

.	O	O

Some	O	O
outer	O	O
shells	O	O
and	O	O
bones	O	S-ITM
were	O	O
found	O	O
at	O	O
the	O	O
cleanup	O	O
.	O	O

Could	O	O
you	O	O
identify	O	O
which	O	O
animals	O	O
they	O	O
belong	O	O
to	O	O
?	O	O

Write	O	O
in	O	O
the	O	O
comment	O	O
section	O	O
below	O	O
.	O	O

.	O	O

.	O	O

One	O	O
Less	O	O
Trash	O	O
is	O	O
One	O	O
Less	O	O
Threat	O	O
.	O	O

#	O	O
sgbeachwarriors	O	O
.	O	O

.	O	O

.	O	O

#	O	O
beachcleanup	O	O
#	O	O
savetheoceans🌊	O	O
#	O	O
volunteersg	O	O
#	O	O
sustainability	O	O
#	O	O
savemarinelife🐙🐠🐡🐋	O	O
#	O	O
marinelitter	O	O

Amazing	O	O
Valentine	O	O
's	O	O
Day	O	O
Beach	O	O
cleanup	O	O
at	O	O
Milnerton	B-LOC	B-LOC
Beach	E-LOC	E-LOC
on	O	O
Saturday	E-DAT	O
with	O	O
Dove	B-ORG	B-ORG
Cotton	E-ORG	E-ORG
and	O	O
the	O	O
Lions	B-ORG	O
Clubs	E-ORG	O
from	O	O
Milnerton	O	O
,	O	O
Tygerberg	O	O
Hills	O	O
,	O	O
Merriman	O	O
and	O	O
Tableview	O	O
!	O	O

Over	O	O
70	O	S-WEI
volunteers	O	O
collected	O	O
126	S-WEI	S-WEI
kilograms	S-UNT	S-UNT
of	O	O
litter	S-ITM	O
!	O	O

!	O	O

#	O	O
saveafishie	O	O
#	O	O
beachcleanup	O	O
#	O	O
LetsKeepCapeTownCleanTogether	O	O
#	O	O
SpringCleanCT	O	O
@	O	O
cityofct	O	O
@	O	O
wavemakersunited	O	O
@	O	O
premierfmcg	O	O

In	O	O
2023	O	O
,	O	O
we	O	O
have	O	O
doubled	O	O
our	O	O
target	O	O
,	O	O
our	O	O
new	O	O
mission	O	O
each	O	O
year	O	O
is	O	O
to	O	O
keep	O	O
100,000m2	O	O
of	O	O
waste	O	O
out	O	O
of	O	O
our	O	O
oceans	O	O
!	O	O

100,000m2	O	O
is	O	O
double	O	O
the	O	O
length	O	O
of	O	O
Australia	O	O
’	O	O
s	O	O
coastline	O	O
.	O	O

This	O	O
new	O	O
target	O	O
could	O	O
save	O	O
thousands	O	O
more	O	O
marine	O	O
animals	O	O
and	O	O
birds	O	O
,	O	O
AND	O	O
it	O	O
gives	O	O
all	O	O
of	O	O
us	O	O
a	O	O
target	O	O
to	O	O
reduce	O	O
single	O	O
use	O	O
plastics	S-ITM	O
by	O	O
building	O	O
better	O	O
consumption	O	O
habits	O	O
!	O	O

Our	O	O
next	O	O
sponsored	O	O
clean	O	O
up	O	O
event	O	O
is	O	O
taking	O	O
place	O	O
on	O	O
Moreton	B-LOC	B-LOC
Island​​​​​​​​​​​​​​​​	E-LOC	E-LOC
24	O	O
-	O	O
27th	B-DAT	B-DAT
March	I-DAT	I-DAT
2023	E-DAT	E-DAT
,	O	O
you	O	O
'll	O	O
find	O	O
the	O	O
link	O	O
to	O	O
sign	O	O
up	O	O
and	O	O
volunteer	O	O
on	O	O
our	O	O
website	O	O
now	O	O
!	O	O

The	O	O
Moreton	B-LOC	B-LOC
Island	E-LOC	E-LOC
clean-up	O	O
event	O	O
will	O	O
remove	O	O
harmful	O	O
waste	O	O
&	O	O
microplastics	O	O
from	O	O
this	O	O
precious	O	O
bird	O	O
sanctuary	O	O
and	O	O
marine	O	O
ecosystem	O	O
!	O	O

We	O	O
are	O	O
so	O	O
proud	O	O
to	O	O
sponsor	O	O
this	O	O
clean	O	O
up	O	O
with	O	O
@	O	O
oceancrusaders	S-ORG	O
@	O	O
pellibags	O	O
#	O	O
pellibags	O	O
#	O	O
refuse	O	O
#	O	O
saynotosingleuse	O	O
#	O	O
cleanup	O	O
#	O	O
oceancleanup	O	O
#	O	O
enoughisenough	O	O
#	O	O
oceancleanup	O	O
#	O	O
oceanchallenge	O	O
#	O	O
pellioceanchallenge	O	O
#	O	O
unep	O	O
#	O	O
worldenvironmentday	O	O
#	O	O
plasticban	O	O
#	O	O
noplasticwaste	O	O
#	O	O
motherearthnews	O	O
#	O	O
pellibags	O	O

Ascott	B-ORG	B-ORG
Indonesia	I-ORG	I-ORG
Regional	I-ORG	I-ORG
Bali	E-ORG	E-ORG
held	O	O
a	O	S-DAT
beach	O	O
cleaning	O	O
event	O	O
in	O	O
the	O	O
tourist	O	O
area	O	O
of	O	O
Kuta	B-LOC	B-LOC
Beach	E-LOC	E-LOC
,	O	O
under	O	O
the	O	O
initiative	O	O
Say	O	O
No	O	O
to	O	O
Plastic	S-ITM	S-ITM
.	O	O

The	O	O
Beach	O	O
Clean	O	O
Up	O	O
collaborated	O	O
with	O	O
One	B-ORG	B-LOC
Island	I-ORG	E-LOC
One	I-ORG	O
Voice	E-ORG	O
–	O	O
a	O	O
local	O	O
organization	O	O
that	O	O
brings	O	O
communities	O	O
together	O	O
to	O	O
Bali	S-LOC	S-LOC
's	O	O
biggest	O	O
clean	O	O
up	O	O
.	O	O

The	O	O
event	O	O
is	O	O
part	O	O
of	O	O
Ascott	B-ORG	B-ORG
Regional	I-ORG	I-ORG
Bali	I-ORG	I-ORG
CSR	I-ORG	I-ORG
and	I-ORG	I-ORG
Activation	I-ORG	I-ORG
Program	E-ORG	E-ORG
with	O	O
the	O	O
objective	O	O
to	O	O
contribute	O	O
to	O	O
Bali	S-LOC	O
in	O	O
the	O	O
form	O	O
of	O	O
cleaning	O	O
the	O	O
beach	O	O
area	O	O
and	O	O
tightening	O	O
the	O	O
relationship	O	O
amongst	O	O
Ascott	O	O
members	O	O
and	O	O
community	O	O
.	O	O

This	O	O
activation	O	O
program	O	O
is	O	O
aligned	O	O
with	O	O
‘	O	O
Ascott	B-ORG	B-ORG
Cares	E-ORG	E-ORG
’	O	O
that	O	O
is	O	O
our	O	O
commitment	O	O
to	O	O
extending	O	O
our	O	O
culture	O	O
of	O	O
care	O	O
and	O	O
hospitality	O	O
to	O	O
the	O	O
people	O	O
and	O	O
environments	O	O
we	O	O
interact	O	O
.	O	O

#	O	O
TeamAscott	O	O
#	O	O
TheAscottLimited	O	O
#	O	O
BeachCleanup	O	O
#	O	O
BalisBiggestCleanup	O	O
#	O	O
Ascottcares	S-ORG	O

What	O	O
an	O	O
amazing	O	O
tribute	O	O
to	O	O
Seacliff	B-LOC	B-LOC
State	I-LOC	I-LOC
Beach	E-LOC	E-LOC
!	O	O

Check	O	O
out	O	O
the	O	O
February	B-DAT	B-DAT
18th	E-DAT	E-DAT
beach	O	O
clean	O	O
up	O	O
and	O	O
the	O	O
farewell	O	O
to	O	O
the	O	O
pier	O	O
.	O	O

A	O	O
special	O	O
thanks	O	O
to	O	O
all	O	O
the	O	O
neighbors	O	O
and	O	O
friends	O	O
who	O	O
participated	O	O
.	O	O

Photo	O	B-ORG
Description	O	E-ORG
:	O	O
Before	O	O
and	O	O
after	O	O
pictures	O	O
of	O	O
the	O	O
Seacliff	S-LOC	B-LOC
pier	O	E-LOC
at	O	O
sunset	O	O
📍	O	O
Aptos	O	B-ORG
Tribal	O	I-ORG
Land	O	E-ORG
#	O	O
Seacliff	O	O
#	O	O
SeacliffStateBeach	O	O
#	O	O
ThatsMyBeach	O	S-LOC
#	O	O
CAStateParks	O	O
#	O	O
beachcleanup	O	O
@	O	O
friendsofscstateparks	O	O
/	O	O
@	O	O
friendsofsantacruzstateparks	O	O
/	O	O
@	O	O
saveourshores	O	O

Thank	O	O
you	O	O
to	O	O
all	O	O
volunteers	O	O
who	O	O
joined	O	O
us	O	O
on	O	O
Saturday	O	O
to	O	O
clean	O	O
our	O	O
favorite	O	O
#	O	O
pbcpark	O	O
,	O	O
Phil	B-LOC	O
Foster	I-LOC	O
Park	E-LOC	O
.	O	O

👏🏼	O	O
In	O	O
just	O	O
2	O	O
hours	O	O
we	O	O
collected	O	O
38	S-WEI	S-WEI
lbs	S-UNT	S-UNT
of	O	O
trash	S-ITM	S-ITM
!	O	O

😮🙌🏼	O	O
The	O	O
strangest	O	O
item	O	O
collected	O	O
was	O	O
a	O	O
carburetor	S-ITM	O
&	O	O
a	O	O
tripod	S-ITM	O
.	O	O

😅	O	O
Next	O	O
beach	O	O
cleanup	O	O
is	O	O
March	B-DAT	B-DAT
18th	E-DAT	E-DAT
,	O	O
will	O	O
you	O	O
join	O	O
us	O	O
?	O	O

🗑️	O	O
#	O	O
beachcleanup	O	O
#	O	O
philfosterpark	S-LOC	O
#	O	O
blueheronbridge	O	O
#	O	O
keepbeachesclean	O	O
#	O	O
beachbucketfoundation	O	O
#	O	O
puravidadivers	O	O
#	O	O
redusereuserecycle	O	O
#	O	O
divedivedive	O	O
#	O	O
diverlife	O	O
#	O	O
doyourpart	O	O
#	O	O
floridadiving	O	O
#	O	O
floridabeaches	O	O
#	O	O
scuba	O	O
#	O	O
scubadiving	O	O
#	O	O
scubadiver	O	O
#	O	O
adventureflorida	O	O
#	O	O
divesouthflorida	O	O
#	O	O
southflorida	S-LOC	S-LOC
#	O	O
floridadiving	O	O

Thank	O	O
you	O	O
to	O	O
the	O	O
96	O	S-WEI
volunteers	O	O
,	O	O
who	O	O
cleaned	O	O
the	O	O
beach	O	O
,	O	O
streets	O	O
,	O	O
parking	O	O
areas	O	O
,	O	O
pier	O	O
,	O	O
and	O	O
even	O	O
some	O	O
of	O	O
the	O	O
golf	O	O
course	O	O
last	O	O
Saturday	O	O
at	O	O
Sharp	B-LOC	B-LOC
Park	E-LOC	E-LOC
,	O	O
Pacifica	B-LOC	O
,	I-LOC	O
CA	E-LOC	O
!	O	O

Woot	O	O
woot	O	O
!	O	O

Huge	O	O
thanks	O	O
to	O	O
the	O	O
students	O	O
from	O	O
Saint	B-ORG	B-ORG
Francis	I-ORG	I-ORG
High	I-ORG	I-ORG
School	E-ORG	E-ORG
who	O	O
joined	O	O
fellow	O	O
volunteers	O	O
to	O	O
remove	O	O
1085	O	S-WEI
Cigarette	B-ITM	B-ITM
Filter	E-ITM	E-ITM
(	O	O
350	O	S-WEI
from	O	O
the	O	O
Pier	O	O
)	O	O
,	O	O
227	S-WEI	S-WEI
pounds	S-UNT	S-UNT
of	O	O
trash	S-ITM	S-ITM
including	O	O
three	O	O
battered	O	O
,	O	O
beat-up	O	B-ITM
tires	S-ITM	E-ITM
that	O	O
washed	O	O
up	O	O
on	O	O
the	O	O
beach	O	O
,	O	O
and	O	O
125	O	O
recyclable	O	O
materials	O	O
.	O	O

A	O	O
bucket	O	O
of	O	O
plastic	B-ITM	B-ITM
film	I-ITM	I-ITM
pieces	E-ITM	E-ITM
was	O	O
recovered	O	O
from	O	O
the	O	O
beach	O	O
.	O	O

Enough	O	O
plastic	B-ITM	S-ITM
netting	E-ITM	O
was	O	O
picked	O	O
out	O	O
of	O	O
the	O	O
sand	O	O
in	O	O
the	O	O
picnic	O	O
area	O	O
to	O	O
fill	O	O
a	O	O
5-gallon	O	O
bucket	O	O
.	O	O

It	O	O
was	O	O
clearly	O	O
residue	O	O
left	O	O
behind	O	O
from	O	O
sod	O	O
that	O	O
was	O	O
installed	O	O
years	O	O
and	O	O
years	O	O
ago	O	O
and	O	O
now	O	O
uncovered	O	O
from	O	O
the	O	O
strong	O	O
waves	O	O
of	O	O
the	O	O
past	O	O
storms	O	O
.	O	O

Volunteers	O	O
from	O	O
St.	B-ORG	O
Francis	I-ORG	O
High	I-ORG	O
School	E-ORG	O
included	O	O
club	O	O
members	O	O
from	O	O
BRIC	O	O
Brothers	O	O
,	O	O
BRIC	O	O
Sisters	O	O
,	O	O
the	O	O
ocean	O	O
club	O	O
,	O	O
and	O	O
the	O	O
environmental	O	O
club	O	O
.	O	O

Big	O	O
thanks	O	O
to	O	O
Tiffany	O	O
(	O	O
wearing	O	O
the	O	O
yellow	O	B-ITM
jacket	S-ITM	E-ITM
in	O	O
the	O	O
first	O	O
photo	O	O
)	O	O
who	O	O
catalyzed	O	O
these	O	O
students	O	O
to	O	O
join	O	O
us	O	O
,	O	O
it	O	O
's	O	O
a	O	O
perfect	O	O
example	O	O
of	O	O
how	O	O
one	O	O
person	O	O
can	O	O
create	O	O
a	O	O
huge	O	O
difference	O	O
!	O	O

.	O	O

.	O	O

.	O	O

.	O	O

#	O	O
trashpicking	O	O
#	O	O
saveouroceans	O	O
#	O	O
keeptheseaplasticfree	O	O
#	O	O
bayareabeaches	O	O
#	O	O
cleantown	O	O
#	O	O
helpourbeach	O	O
#	O	O
saynotoplastic	O	O
#	O	O
oceanconservation	O	O
#	O	O
cleanupcommunity	O	O
#	O	O
sanmateocounty	O	O
#	O	O
cleanearth	O	O
#	O	O
marinelitter	O	O
#	O	O
beachcleaning	O	O
#	O	O
keepourbeachesclean	O	O
#	O	O
beachtrash	O	O
#	O	O
littercleanup	O	O
#	O	O
oceanpollution	O	O
#	O	O
oceancleanup	O	O
#	O	O
oceanplastic	O	O
#	O	O
plasticpollutes	O	O
#	O	O
plasticocean	O	O
#	O	O
beachcleanup	O	O
#	O	O
breakfreefromplastic	O	O
#	O	O
loveearth	O	O
#	O	O
marineconservation	O	O
#	O	O
pacifica	O	O
#	O	O
plasticpollution	O	O
#	O	O
savetheocean	O	O

Have	O	O
you	O	O
joined	O	O
one	O	O
of	O	O
our	O	O
monthly	O	O
Trees4Trash	O	O
cleanups	O	O
?	O	O

🌳♻️	O	O
For	O	O
every	O	O
25	S-WEI	S-WEI
lbs	S-UNT	S-UNT
of	O	O
litter	S-ITM	O
we	O	O
remove	O	O
from	O	O
the	O	O
environment	O	O
,	O	O
we	O	O
work	O	O
with	O	O
the	O	O
Alliance	B-ORG	B-ORG
for	I-ORG	I-ORG
Cape	I-ORG	I-ORG
Fear	I-ORG	I-ORG
Trees	E-ORG	E-ORG
(	O	O
@	O	O
allianceforcapefeartrees	O	O
)	O	O
to	O	O
plant	O	O
a	O	O
tree	O	O
.	O	O

Last	O	O
year	O	O
we	O	O
collected	O	O
over	O	O
11,000	S-WEI	O
lbs	S-UNT	S-UNT
of	O	O
trash	S-ITM	S-ITM
!	O	O

Learn	O	O
more	O	O
at	O	O
www.plasticoceanproject.org/trees4trash	O	O
and	O	O
join	O	O
us	O	O
at	O	O
our	O	O
next	O	O
cleanup	O	O
on	O	O
February	B-DAT	O
26th	E-DAT	O
11AM-1PM	O	O
(	O	O
more	O	O
details	O	O
coming	O	O
soon	O	O
)	O	O
.	O	O

Looking	O	O
to	O	O
organize	O	O
a	O	O
cleanup	O	O
with	O	O
your	O	O
company	O	O
or	O	O
organization	O	O
?	O	O

Contact	O	O
us	O	O
at	O	O
emily	O	O
@	O	O
plasticoceanproject.org	O	O
!	O	O

#	O	O
cleanup	O	O
#	O	O
trees4trash	O	O
#	O	O
ilm	O	O
#	O	O
wilmingtonnc	S-LOC	O
#	O	O
cleanupcrew	O	O
#	O	O
litter	O	O
#	O	O
plasticpollution	O	O
#	O	O
plasticpollutes	O	O
#	O	O
wilmingtonevents	O	O
#	O	O
cleanupwilmington	O	O
#	O	O
wrightsvillebeach	S-LOC	S-LOC
#	O	O
beachcleanup	O	O
#	O	O
littercleanup	O	O
#	O	O
trees4trash	O	O